,idf_weights
pagi,2.819577843679949
ini,3.6227774857814223
yopi,3.771989883968098
yang,3.8558713679488
di,3.8600467393592806
vtuber,3.9248642394357516
ya,3.963549381746989
yop,4.1080790522069215
kobo,4.1107636175775895
selamat,4.186113054819376
aku,4.1977749945672205
nya,4.335925333048037
ada,4.339298017526676
vtuberid,4.359776548870217
bo,4.363230783738304
bisa,4.377168291582086
lagi,4.387750400912623
jadi,4.46131296808964
stream,4.468975840835209
juga,4.500228384339313
dan,4.561597330715605
mau,4.60912247257845
hari,4.618011419995696
udah,4.626980089978457
yg,4.682549941133268
ga,4.682549941133268
aja,4.736352647126244
main,4.736352647126244
jangan,4.746453743112748
sama,4.761799312787408
buat,4.793215509020787
kamu,4.803910798137535
indonesia,4.803910798137535
besar,4.809301646772412
dari,4.820171319009315
nih,4.825650784773941
kita,4.836700620960526
iofi,4.842271666009982
gak,4.8938590348004745
lupa,4.929791044026539
jam,4.935907271043974
ke,4.948253106866273
tapi,4.973411666502429
malam,5.012377635035812
semoga,5.032445198086622
apa,5.052923729430162
wib,5.06681284159083
skejul,5.088015049241433
sudah,5.102403786693532
baru,5.117002586114685
akan,5.131817671899825
itu,5.139308343628983
untuk,5.139308343628983
pituber,5.154460148649585
kalian,5.185470385392145
banget,5.185470385392145
hololive,5.201343734548436
nvtuber,5.22563642711748
sekarang,5.276067280744372
nanti,5.284725343487486
kalo,5.293459023456241
saya,5.311158600555642
dah,5.347526244726517
bareng,5.356828637388831
lort,5.36621837773867
april,5.404684658566466
yuk,5.404684658566466
dengan,5.414536955009477
gmt,5.424487285862646
masih,5.424487285862646
kok,5.444689993180165
ollie,5.454946493347354
si,5.486362689580733
bakal,5.507868894801696
mampir,5.5298478015204715
sedang,5.5298478015204715
sih,5.5298478015204715
dulu,5.541021102118597
kan,5.5523206573725306
mana,5.563749353196153
wkwkwk,5.575310175597229
kasih,5.575310175597229
anime,5.598840673007423
dong,5.610816864054139
guys,5.635208317178298
tidak,5.635208317178298
live,5.647630837176855
makan,5.647630837176855
vtuberuprising,5.672948645161145
subs,5.685852049997053
minggu,5.685852049997053
game,5.685852049997053
bikin,5.685852049997053
sayang,5.6989241315644055
wkwk,5.712169358314426
siang,5.725592378646567
satu,5.739198030702346
puasa,5.739198030702346
lah,5.739198030702346
pagiii,5.739198030702346
yopiii,5.752991352834681
nlink,5.752991352834681
tau,5.752991352834681
the,5.781162229801378
semangat,5.781162229801378
id,5.781162229801378
gimana,5.781162229801378
kali,5.795550967253477
pagii,5.795550967253477
ku,5.795550967253477
semua,5.81014976667463
banyak,5.81014976667463
you,5.81014976667463
nonton,5.824964852459771
debut,5.824964852459771
biar,5.840002729824311
tidur,5.840002729824311
coco,5.840002729824311
makasih,5.840002729824311
kecil,5.840002729824311
jadwal,5.870774388491065
malem,5.870774388491065
princess,5.886522745459204
akhirnya,5.902523086805645
juli,5.902523086805645
daging,5.902523086805645
kalau,5.935312909628636
bersama,5.935312909628636
congrats,5.935312909628636
room,5.952120027945017
valo,5.952120027945017
gk,5.952120027945017
dapet,5.952120027945017
bang,5.969214461304317
lu,5.969214461304317
siap,5.986606204016186
hololiveid,5.986606204016186
atau,5.986606204016186
kah,5.986606204016186
paling,5.986606204016186
sekali,5.986606204016186
sambil,5.986606204016186
sahur,6.004305781115588
bukan,6.004305781115588
gw,6.004305781115588
vtubers,6.004305781115588
yopii,6.022324286618265
kuda,6.022324286618265
lebih,6.022324286618265
sangat,6.022324286618265
ditunggu,6.022324286618265
terus,6.022324286618265
udh,6.022324286618265
karena,6.022324286618265
kak,6.040673425286462
tadi,6.040673425286462
pengen,6.040673425286462
juta,6.059365558298615
belum,6.059365558298615
datang,6.059365558298615
pake,6.059365558298615
kanaeru,6.078413753269309
bocil,6.078413753269309
bagi,6.078413753269309
pasti,6.078413753269309
besok,6.097831839126411
wah,6.097831839126411
orang,6.097831839126411
mit,6.097831839126411
adalah,6.117634466422591
siapa,6.117634466422591
kapan,6.117634466422591
dateng,6.1378371737401105
nvtuberid,6.1378371737401105
kobokanaeru,6.1378371737401105
yah,6.1378371737401105
sore,6.1378371737401105
