,tfidf
bebas,0.5253193228928458
penting,0.4956857102740052
enak,0.44236996161225717
apa,0.33889833566687394
aja,0.3176659920460535
yang,0.2586123320113458
offff,0.0
obsessed,0.0
obok,0.0
oboo,0.0
official,0.0
obor,0.0
obroli,0.0
obs,0.0
oc,0.0
office,0.0
offfff,0.0
ocha,0.0
obo,0.0
odm,0.0
of,0.0
off,0.0
ode,0.0
oblo,0.0
offnerupsi,0.0
nzetacrylic,0.0
nyu,0.0
nyuci,0.0
nyuk,0.0
nyuku,0.0
nyulik,0.0
nyuruh,0.0
nyusahin,0.0
nyusul,0.0
nziedyiraart,0.0
obisaaaaaa,0.0
nzizan,0.0
nzodiacstars,0.0
oagi,0.0
oalah,0.0
obasan,0.0
obat,0.0
obatku,0.0
obisa,0.0
officially,0.0
oflonger,0.0
nyoutube,0.0
ohayuuu,0.0
ohayo,0.0
ohayon,0.0
ohayonmayu,0.0
ohayoon,0.0
ohayooo,0.0
ohayooon,0.0
ohayopi,0.0
ohayou,0.0
ohh,0.0
og,0.0
ohhh,0.0
ohhhhh,0.0
ohhhhhhh,0.0
ohhhhhhhh,0.0
ohiofi,0.0
oi,0.0
oiii,0.0
oioioi,0.0
oharuka,0.0
ohapi,0.0
ohapagi,0.0
ohanyo,0.0
oga,0.0
oghma,0.0
oh,0.0
oha,0.0
ohaa,0.0
ohaaaaamitiiiwwwww,0.0
ohaaaapiiiii,0.0
ohaaapiiii,0.0
ohaaapiiiiiii,0.0
ohabunny,0.0
ohachuu,0.0
ohagi,0.0
ohahyo,0.0
ohaion,0.0
ohamiki,0.0
ohamorning,0.0
ohanna,0.0
nyt,0.0
nyou,0.0
nyouta,0.0
nyantui,0.0
nyan,0.0
nyanalso,0.0
nyanberpetualang,0.0
nyanemang,0.0
nyang,0.0
nyangka,0.0
nyangkut,0.0
nyantai,0.0
nyantumin,0.0
nyambungin,0.0
nyanyi,0.0
nyanyian,0.0
nyanyiii,0.0
nyanyiiiialtheriaclaire,0.0
nyanyiin,0.0
nyapa,0.0
nyarap,0.0
nyari,0.0
nyambut,0.0
nyaman,0.0
ojol,0.0
nyaa,0.0
nwith,0.0
nwkwkwk,0.0
nwkwkwkkwkwk,0.0
nwoooww,0.0
nwr,0.0
nwwwwwnholoid,0.0
ny,0.0
nya,0.0
nyaaa,0.0
nyali,0.0
nyaaaa,0.0
nyaah,0.0
nyaampun,0.0
nyadar,0.0
nyagoo,0.0
nyajadi,0.0
nyakui,0.0
nyaleg,0.0
nyariin,0.0
nyaris,0.0
nyasar,0.0
nyobian,0.0
nyimeng,0.0
nying,0.0
nyinggung,0.0
nyingnyingn,0.0
nympe,0.0
nyo,0.0
nyoba,0.0
nyobain,0.0
nyoh,0.0
nyata,0.0
nyok,0.0
nyokapnya,0.0
nyolong,0.0
nyong,0.0
nyop,0.0
nyopi,0.0
nyopotin,0.0
nyosor,0.0
nyimak,0.0
nyicil,0.0
nyiapin,0.0
nygy,0.0
nyate,0.0
nyatir,0.0
nyaudah,0.0
nyawa,0.0
nyebut,0.0
nyemangatin,0.0
nyemnyak,0.0
nyempetin,0.0
nyengir,0.0
nyentuh,0.0
nyenyak,0.0
nyerah,0.0
nyerahin,0.0
nyeruput,0.0
nyes,0.0
nyesel,0.0
nyg,0.0
ojisan,0.0
aa,0.0
nweliverlife,0.0
osu,0.0
oshi,0.0
osis,0.0
osn,0.0
ospek,0.0
ospeknya,0.0
ost,0.0
ostum,0.0
ostume,0.0
ot,0.0
ortu,0.0
ota,0.0
otak,0.0
otaklu,0.0
otakmu,0.0
otaku,0.0
otoko,0.0
ototnya,0.0
otra,0.0
osela,0.0
orocamono,0.0
otsu,0.0
ore,0.0
oprec,0.0
opsi,0.0
opss,0.0
or,0.0
orang,0.0
orangnya,0.0
orchid,0.0
order,0.0
oren,0.0
orng,0.0
orenjii,0.0
orennya,0.0
org,0.0
organ,0.0
orgen,0.0
original,0.0
originsnsenin,0.0
orisinil,0.0
otransankyu,0.0
otsuid,0.0
ojou,0.0
ouhh,0.0
otsuyopi,0.0
otsuyopii,0.0
otsuyopiii,0.0
ottavia,0.0
ottavius,0.0
otter,0.0
otw,0.0
ouch,0.0
our,0.0
otsuuuuuu,0.0
out,0.0
outer,0.0
outfit,0.0
outlast,0.0
outlastindonesia,0.0
outube,0.0
over,0.0
overcooked,0.0
otsuyop,0.0
otsuuuuu,0.0
otsukaeru,0.0
otsumayaaa,0.0
otsukaeruu,0.0
otsukaeruuuu,0.0
otsukare,0.0
otsukaree,0.0
otsukareee,0.0
otsukareeee,0.0
otsukaresama,0.0
otsukobo,0.0
otsumiti,0.0
otsuuuprinc,0.0
otsumitiiii,0.0
otsunanan,0.0
otsunola,0.0
otsunuhun,0.0
otsurandom,0.0
otsuryuu,0.0
otsuu,0.0
otsuuu,0.0
oppainya,0.0
opor,0.0
opo,0.0
olivia,0.0
olai,0.0
old,0.0
oleh,0.0
oli,0.0
olie,0.0
oliie,0.0
olimpiadesainsnasional,0.0
olin,0.0
olli,0.0
ol,0.0
ollicin,0.0
ollie,0.0
ollienya,0.0
ollik,0.0
om,0.0
omagah,0.0
omaygat,0.0
omedeto,0.0
olahraga,0.0
okuvtuber,0.0
oplen,0.0
okeh,0.0
ok,0.0
okamijigoku,0.0
okay,0.0
okayu,0.0
oke,0.0
okedeh,0.0
okee,0.0
okeee,0.0
okehh,0.0
oksiap,0.0
okehhnntar,0.0
okelah,0.0
okesip,0.0
okey,0.0
okh,0.0
okita,0.0
oko,0.0
okokokok,0.0
omedetooo,0.0
omedetou,0.0
omedetouu,0.0
ooof,0.0
onnlink,0.0
onotchi,0.0
onotchiiinjanji,0.0
onstreamnminecraft,0.0
ontime,0.0
onvtuber,0.0
ooh,0.0
ooo,0.0
oozora,0.0
omedetouuu,0.0
oozorasubaru,0.0
op,0.0
ope,0.0
open,0.0
opening,0.0
opennnsini,0.0
oper,0.0
opi,0.0
only,0.0
online,0.0
onkalau,0.0
onhemm,0.0
omedets,0.0
omedettoouuu,0.0
omel,0.0
ometedou,0.0
omg,0.0
omnya,0.0
omori,0.0
on,0.0
onad,0.0
onaeru,0.0
onasi,0.0
onathon,0.0
one,0.0
onee,0.0
onega,0.0
oneiro,0.0
ongkir,0.0
nwiii,0.0
nwednesday,0.0
nweekly,0.0
nreinandarea,0.0
nraft,0.0
nragisa,0.0
nraizubartender,0.0
nramadhan,0.0
nrandom,0.0
nrasa,0.0
nreality,0.0
nredshow,0.0
nrender,0.0
nr,0.0
nreveal,0.0
nrevenge,0.0
nrhea,0.0
nri,0.0
nrilis,0.0
nrill,0.0
nrin,0.0
nriotgames,0.0
nrabu,0.0
nququu,0.0
nphasmophobia,0.0
npngtuber,0.0
nphvtuber,0.0
npiacchu,0.0
npilart,0.0
npilihan,0.0
npisahin,0.0
nplaying,0.0
npls,0.0
npluviophile,0.0
npogvolia,0.0
nquart,0.0
npokemonunite,0.0
npokoknya,0.0
npopula,0.0
npopupparade,0.0
npositif,0.0
npre,0.0
nprema,0.0
npremiere,0.0
nrisu,0.0
nroket,0.0
nrokushu,0.0
nsekilas,0.0
nsebuah,0.0
nsee,0.0
nsegmen,0.0
nsehat,0.0
nseiso,0.0
nsekali,0.0
nsekalian,0.0
nsekarang,0.0
nsel,0.0
nroom,0.0
nselalu,0.0
nselamat,0.0
nselamatin,0.0
nselasa,0.0
nselena,0.0
nselesai,0.0
nsemangat,0.0
nsemangatt,0.0
nschedule,0.0
nsc,0.0
nsaya,0.0
nsave,0.0
nsaatnya,0.0
nsabar,0.0
nsabtu,0.0
nsahur,0.0
nsaksikan,0.0
nsalam,0.0
nsalken,0.0
nsama,0.0
nsambil,0.0
nsampai,0.0
nsampe,0.0
nsangat,0.0
nsanky,0.0
nsankyu,0.0
nsara,0.0
nsatu,0.0
nsaturday,0.0
nphoto,0.0
npetualangan,0.0
overlay,0.0
noozora,0.0
nongol,0.0
nono,0.0
nonton,0.0
nontonin,0.0
nontonnya,0.0
noo,0.0
noodles,0.0
nooo,0.0
noozorasubaru,0.0
nona,0.0
nope,0.0
nopen,0.0
noppainya,0.0
noriginal,0.0
normal,0.0
nostalgia,0.0
nostalgic,0.0
not,0.0
nongkrong,0.0
non,0.0
nperkenalkan,0.0
nok,0.0
nobar,0.0
nodoka,0.0
nodong,0.0
noh,0.0
nohayou,0.0
nohya,0.0
noicee,0.0
noiya,0.0
noke,0.0
nomor,0.0
noleh,0.0
nolep,0.0
nollie,0.0
nollieginal,0.0
nollinfo,0.0
nolyfe,0.0
nomg,0.0
nomnomlutie,0.0
notice,0.0
notif,0.0
notifikasi,0.0
nparty,0.0
npalingan,0.0
npandemi,0.0
npantang,0.0
npantes,0.0
npantesan,0.0
npargoybrutal,0.0
npariwisata,0.0
npartner,0.0
npasopati,0.0
notifnya,0.0
npasti,0.0
npeko,0.0
npelan,0.0
npembenahan,0.0
npendaftaran,0.0
npengen,0.0
npenyebar,0.0
nperasaan,0.0
npaha,0.0
npagiyopi,0.0
npagi,0.0
npag,0.0
notlive,0.0
notra,0.0
notsukareee,0.0
notsukareeeeeee,0.0
noutfit,0.0
noutlast,0.0
novelku,0.0
novi,0.0
novika,0.0
novinpo,0.0
now,0.0
nowa,0.0
noyasumi,0.0
noyasumii,0.0
noyomi,0.0
npada,0.0
npadahal,0.0
nsemoga,0.0
nsemongkoooo,0.0
nsemua,0.0
nudah,0.0
ntskr,0.0
ntu,0.0
ntumben,0.0
nu,0.0
nua,0.0
nuansa,0.0
nub,0.0
nuba,0.0
nudh,0.0
ntr,0.0
nugas,0.0
nuhun,0.0
nulissss,0.0
nultah,0.0
num,0.0
numbalin,0.0
number,0.0
numpang,0.0
ntraktiranbakso,0.0
